Format Name,File Extension(s),Category/Plan(s),NARA Format ID,MIME type(s),Specification/Standard URL,PRONOM URL,LOC URL,British Library URL,WikiData URL,ArchiveTeam URL,ForensicsWiki URL,Wikipedia URL,docs.fileformat.com,Other URL,Notes,NARA Risk Level,NARA Preservation Action,NARA Proposed Preservation Plan,Description and Justification,NARA Preferred Processing and Transformation Tool(s)
Flash Local Shared Object (LSO),sol,Software and Code,NF00690,,,,,,https://www.wikidata.org/wiki/Q1312725,,,https://en.wikipedia.org/wiki/Local_shared_object,,,,Moderate Risk,Retain,Retain,"Local Shared Objects are cookies used by Flash. They were shunned for security reasons, and Flash itself was discontinued in 2020.",Procure and/or develop tools
FoxPro 2.0,dbf,Databases,NF00194,application/dbf,https://www.dbf2002.com/dbf-file-format.html,https://www.nationalarchives.gov.uk/PRONOM/x-fmt/6,https://www.loc.gov/preservation/digital/formats/fdd/fdd000325.shtml,,https://www.wikidata.org/wiki/Q60628005,http://fileformats.archiveteam.org/wiki/DBF,,https://en.wikipedia.org/wiki/.dbf,,http://en.wikipedia.org/wiki/FoxPro,,High Risk,Transform,Transform to CSV,"FoxPro is no longer supported. Data is best preserved if converted to CSV or ASCII text, and can be accompanied by available documentation.",Microsoft Excel
FoxPro 2.5,dbf,Databases,NF00564,application/dbf,https://www.dbf2002.com/dbf-file-format.html,https://www.nationalarchives.gov.uk/PRONOM/x-fmt/7,https://www.loc.gov/preservation/digital/formats/fdd/fdd000325.shtml,,https://www.wikidata.org/wiki/Q60628025,http://fileformats.archiveteam.org/wiki/DBF,,https://en.wikipedia.org/wiki/.dbf,,http://en.wikipedia.org/wiki/FoxPro,,High Risk,Transform,Transform to CSV,"FoxPro is no longer supported. Data is best preserved if converted to CSV or ASCII text, and can be accompanied by available documentation.",Microsoft Excel
FoxPro 2.6,dbf,Databases,NF00565,application/dbf,https://www.dbf2002.com/dbf-file-format.html,https://www.nationalarchives.gov.uk/PRONOM/x-fmt/242,https://www.loc.gov/preservation/digital/formats/fdd/fdd000325.shtml,,https://www.wikidata.org/wiki/Q51954521,http://fileformats.archiveteam.org/wiki/DBF,,https://en.wikipedia.org/wiki/.dbf,,http://en.wikipedia.org/wiki/FoxPro,,High Risk,Transform,Transform to CSV,"FoxPro is no longer supported. Data is best preserved if converted to CSV or ASCII text, and can be accompanied by available documentation.",Microsoft Excel
FoxPro Memo,fpt,Databases,NF00275,application/dbf,https://learn.microsoft.com/en-us/previous-versions/visualstudio/foxpro/8599s21w%28v%3dvs.71%29,https://www.nationalarchives.gov.uk/PRONOM/x-fmt/342,,,https://www.wikidata.org/wiki/Q47012412,http://fileformats.archiveteam.org/wiki/Ext:fpt,,https://en.wikipedia.org/wiki/FoxPro,,,,Moderate Risk,Transform,Transform to Plain Text and add it into the database file,"The FPT file is used to store database memo data. The FPT files don't contain any data stored in the main database, memos are only ""text notes"" about database tables.","Procure and/or develop tools. It appears these files can be opened in text editors, although it is possible they can only be opened in a hex editor or a database application. Typically these files are not meant to be converted. However as text files, their content may be simply copied out. The issue is whether the file can then be properly associated with related data in the database. More likely the FPT file and related files will have to be processed so that the FPT file content is added back into the related database file. It may be possible to open these files in OpenOffice."
FoxPro Report,frx,Databases,NF00663,,,https://www.nationalarchives.gov.uk/PRONOM/fmt/376,,,https://www.wikidata.org/wiki/Q61976072,http://fileformats.archiveteam.org/wiki/Ext:frx,,https://en.wikipedia.org/wiki/FoxPro,,,,Moderate Risk,Transform,Transform to CSV,"FoxPro is no longer supported. Data is best preserved if converted to CSV or ASCII text, and can be accompanied by available documentation.",Microsoft Excel
Fractal Image File,fif,Digital Still Image,NF00196,application/fractals|image/fif|application/octet-stream,,https://www.nationalarchives.gov.uk/PRONOM/x-fmt/320,,,https://www.wikidata.org/wiki/Q1440353,http://fileformats.archiveteam.org/wiki/Fractal_Image_Format,,https://en.wikipedia.org/wiki/Fractal_compression,,https://web.archive.org/web/19980626190724/http://www.iterated.com/products/fractalviewer.htm,,High Risk,Transform,"Transform to a TBD format, possibly TIFF",This is a proprietary raster format which should be converted into an uncompressed TIFF bitmap.,Adobe Photoshop with Genuine Fractals plug-in
Framework Database II,fw2|fw,Databases,NF00197,application/octet-stream,,https://www.nationalarchives.gov.uk/PRONOM/x-fmt/321,,,https://www.wikidata.org/wiki/Q48815175,http://fileformats.archiveteam.org/wiki/Ext:fw2,,https://en.wikipedia.org/wiki/Framework_(office_suite),,,,High Risk,Transform,Transform to CSV,"Framework is no longer sold or supported. Data is best preserved if converted to CSV or ASCII text, and can be accompanied by available documentation.",Procure and/or develop tools; this will require testing on a case-by-case basis.
Free Lossless Audio Codec (FLAC),flac,Digital Audio,NF00198,audio/x-flac|audio/flac,https://xiph.org/flac/format.html,https://www.nationalarchives.gov.uk/PRONOM/fmt/279,https://www.loc.gov/preservation/digital/formats/fdd/fdd000198.shtml,https://wiki.dpconline.org/images/f/fe/FLAC_Assessment_v1.0.pdf,https://www.wikidata.org/wiki/Q27881556,http://fileformats.archiveteam.org/wiki/FLAC,,https://en.wikipedia.org/wiki/FLAC,https://docs.fileformat.com/audio/flac/,https://filext.com/file-extension/FLAC,https://www.rfc-editor.org/info/rfc9639,Low Risk,Retain,Retain,"Free Lossless Audio Codec (FLAC) is a lossless audio format. It is fully documented and open source, and the specification is made available through the Xiph.Org Foundation. FLAC compression is lossless, with effective storage, typically compressing audio files to 50-60% of their original size. It is widely used and supported, therefore, can be retained as-is. FLAC is considered a preferred format per the NARA Transfer Guidance.",FFmpeg; Windows Media Player
FujiFilm RAW,raf,Digital Still Image,NF00470,image/x-raw-fuji,,https://www.nationalarchives.gov.uk/PRONOM/fmt/642,https://www.loc.gov/preservation/digital/formats/fdd/fdd000241.shtml,,https://www.wikidata.org/wiki/Q28205335,http://fileformats.archiveteam.org/wiki/Fujifilm_RAF,,https://en.wikipedia.org/wiki/Raw_image_format,,http://exiftool.sourceforge.net/TagNames/FujiFilm.html,,Moderate Risk,Transform,Transform to DNG,"FujiFilm RAW (RAF) is a raw image format which consists of unprocessed data that was captured by a Fujifilm digital camera’s image sensor. While RAW files are now widespread across digital cameras, the RAF format is proprietary and specific to FujiFilm cameras. RAF files can be rendered by a variety of image editing programs, although some image editors may require format conversion before they can display the entirety of multi-image RAF files, such as HDR (“High Dynamic Range”) RAF files. Because this format is proprietary, not an industry standard, and does not have an open format specification, conversion to DNG is recommended. ",Adobe Photoshop with Camera RAW; Adobe DNG Converter; ExifTool; IrfanView
