Format Name,File Extension(s),Category/Plan(s),NARA Format ID,MIME type(s),Specification/Standard URL,PRONOM URL,LOC URL,British Library URL,WikiData URL,ArchiveTeam URL,ForensicsWiki URL,Wikipedia URL,docs.fileformat.com,Other URL,Notes,Risk Level,Preservation Action,Proposed Preservation Plan,Description and Justification,Preferred Processing and Transformation Tool(s)
CCITT T.4 Group 3 compression (Fax image file),tiff|others,Digital Still Image,NF00191,image/g3fax,https://www.itu.int/rec/T-REC-T.4-198811-S,https://www.nationalarchives.gov.uk/pronom/x-cmp/14,,,https://www.wikidata.org/wiki/Q28234649,http://fileformats.archiveteam.org/wiki/CCITT_Group_3,,https://en.wikipedia.org/wiki/Fax#Compression,,http://fileformats.archiveteam.org/wiki/Fax,,Moderate Risk,Transform,Transform to TIFF or JPEG2000,FAX files are generally a variant of the TIFF format. Experimentation is needed to determine the best tool for opening and converting these files.,Procure and/or develop tools; possible tools include Adobe Photoshop; Adobe Elements; GraphicsMagick; GNU Image Manipulation Program; ImageMagick
CCITT T.6 Group 4 compression (Fax image file),tiff|others,Digital Still Image,NF00488,,,https://www.nationalarchives.gov.uk/pronom/x-cmp/15,https://www.loc.gov/preservation/digital/formats/fdd/fdd000136.shtml,,https://www.wikidata.org/wiki/Q17125070,http://fileformats.archiveteam.org/wiki/CCITT_Group_4,,https://en.wikipedia.org/wiki/Group_4_compression,,https://www.loc.gov/preservation/digital/formats/fdd/fdd000024.shtml,,Moderate Risk,Transform,Transform to TIFF or JPEG2000,FAX files are generally a variant of the TIFF format. Experimentation is needed to determine the best tool for opening and converting these files.,Procure and/or develop tools; possible tools include Adobe Photoshop; Adobe Elements; GraphicsMagick; GNU Image Manipulation Program; ImageMagick
Checksum File,sum,Software and Code,NF00411,,,,,,,,,,,,,Moderate Risk,Retain,Retain,"Any format migration for compiled or binary code creates a guaranteed outcome that the code will no longer function, as will extracting files from binary container archives files. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",
Cold Fusion Component File,cfc,Software and Code,NF00545,text/x-coldfusion,https://helpx.adobe.com/coldfusion/developing-applications/building-blocks-of-coldfusion-applications/building-and-using-coldfusion-components/building-coldfusion-components.html,,,,https://www.wikidata.org/wiki/Q468446,http://fileformats.archiveteam.org/wiki/ColdFusion,,https://en.wikipedia.org/wiki/Adobe_ColdFusion,,,,Moderate Risk,Retain,Retain,"ColdFusion is a commercial rapid web-application development computing platform and its closely associated scripting language, ColdFusion Markup Language (CFML). CFML compares to the scripting components of ASP, JSP, and PHP in purpose and features, but its tag syntax more closely resembles HTML, while its script syntax resembles JavaScript. A ColdFusion component (CFC) file contains data and functions that organize related actions in one file. CFC files are plain text. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",Any supported text editor
Cold Fusion Markup Language,cfm,Software and Code,NF00142,text/x-coldfusion,https://teratech.com/adobe-coldfusion-comprehensive-guide-more-powerful-more-modernized-more-alive/,https://www.nationalarchives.gov.uk/pronom/fmt/1566,,,https://www.wikidata.org/wiki/Q2524362,http://fileformats.archiveteam.org/wiki/ColdFusion,,https://en.wikipedia.org/wiki/ColdFusion_Markup_Language,,,,Moderate Risk,Retain,Retain,"ColdFusion is a commercial rapid web-application development computing platform and its closely associated scripting language, ColdFusion Markup Language (CFML). CFML compares to the scripting components of ASP, JSP, and PHP in purpose and features, but its tag syntax more closely resembles HTML, while its script syntax resembles JavaScript. CFML files are plain text. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",Any supported text editor
Comma Separated Values,csv,Structured Data,NF00143,text/csv,https://tools.ietf.org/html/rfc4180,https://www.nationalarchives.gov.uk/pronom/x-fmt/18,http://www.loc.gov/preservation/digital/formats/fdd/fdd000323.shtml,,https://www.wikidata.org/wiki/Q935809,http://fileformats.archiveteam.org/wiki/CSV,,https://en.wikipedia.org/wiki/Comma-separated_values,,,,Low Risk,Retain,Retain,CSV is considered a preferred format as per NARA Transfer Guidance.,Any supported text editor; Microsoft Excel; LibreOffice
Command manual,man,Software and Code,NF00725,text/plain,https://www.mankier.com/7/man.mandoc,,,,https://www.wikidata.org/wiki/Q47512572,http://fileformats.archiveteam.org/wiki/Man_page,,https://en.wikipedia.org/wiki/Man_page,,,,Low Risk,Retain,Retain,"Text format for help files, widely used on Unix and related computer systems.",Any supported text editor
Common Data Format Toolkit,cdf,Software and Code,NF00144,application/octet-stream,https://cdaweb.gsfc.nasa.gov/pub/software/cdf/doc/cdf350/cdf35ifd.pdf,,,,https://www.wikidata.org/wiki/Q1116060,http://fileformats.archiveteam.org/wiki/Common_Data_Format,,,,,,Moderate Risk,Retain,Retain,"Common Data Format is a conceptual data abstraction for storing, manipulating, and accessing multidimensional data sets developed by NASA. The CDF software library and toolkit, documentation, and user support services are provided by NASA. CDF files are binary. Any format migration for compiled or binary code creates a guaranteed outcome that the code will no longer function, as will extracting files from binary container archives files.","For CDF to ASCII transformations, use the cdfexport tool included in the CDF distribution package."
CompeGPS Land Track file,trk,Geospatial,NF00790,application/xml-loc,,,,,,,,https://en.wikipedia.org/wiki/GIS_file_formats,,https://manual.twonav.com/manual/land_air_93_en/wiki_land/?_gl=1*11221vd*_ga*MTI1NTkxMjgzMy4xNjc0MDc3OTcx*_ga_WN5QMF7KG5*MTY3NTg5Njg1MC4yLjEuMTY3NTg5Njg3MC40MC4wLjA.,,Moderate Risk,Transform,Transform to KML,The TRK file is created by CompeGPS Land. It contains a series of locations that are overlaid on a map and is used to plan routes and load them into CompeGPS devices.,Global Mapper
Compressed Archive File,arc,Software and Code,NF00111,application/octet-stream,https://www.fileformat.info/format/arc/corion.htm,,,,https://www.wikidata.org/wiki/Q296496,http://fileformats.archiveteam.org/wiki/ARC_(compression_format),,https://en.wikipedia.org/wiki/ARC_(file_format),,,,Moderate Risk,Retain,Retain but extract files from the container,"An archive file is a container file that is used to collect multiple data files together into a single file for easier portability and storage, or simply to compress files to use less storage space. Beyond archival purposes, archive files are frequently used for packaging software for distribution, as software contents are often naturally spread across several files; the archive is then known as a package. While the archival file format is the same, there are additional conventions about contents, such as requiring a manifest file. Any format migration for compiled or binary code creates a guaranteed outcome that the code will no longer function, as will extracting files from binary container archives files. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",WinZip
