NARA Guidance: Preferred,NARA Guidance: Acceptable,Numeric Risk Rating,Risk Level,NARA Format ID,Format Name,File Extension(s),Record Type/Plan(s),Is the format proprietary? ,Does the format have a published open specification?,Are there available tools that can validate the technical integrity of a file encoded in this format against the published specification? ,Has the specification been approved and published by an internationally recognized standards body? ,Is the available specification complete and accurate?,Total Disclosure Score. Highest possible score = 10; Lowest possible score = -6,Is the file format commonly used to create or maintain permanent records within the federal government?,Is the file format commonly used outside the federal government?,"Is the format actively maintained and updated by an organization, individual, or community?",Are multiple renderers available? ,Have the archives or library communities identified the format as one they prefer for creation and transfer of permanent materials?,Total Adoption Score: Highest possible score = 10; Lowest possible score = -6,Is the format human readable and can it be opened with a text editor?,Does the available specification provide enough detail to allow basic analysis of the file format with hex editors or other inspection tools?,Does the format rely on standard character or other encoding methods such as IEEE notations?,Is the source code of the software used to create the format available for little or no cost?,Is the software used to create the format supported by current computing environments?,Does the format require the use of compression?,Does the format support user-definable compression levels or other quality settings that affect essential characteristics?,Total Transparency Score. Highest possible score = 7; Lowest possible score = -7,Does the format support self-contained (embedded) descriptive metadata?,Does the format support self-contained technical metadata?,Does the format support self-contained administrative metadata?,Does the format metadata adhere to an international standard?,Is the format metadata robust enough for an accurate file analysis?,Total Self-Documentation Score. Highest possible score = 7; Lowest possible score = -5,"Does the format require a specific hardware environment, such as a specific graphics card, chipset, or memory requirements, to process or interact with it?","Does the format require specific playback hardware (e.g., Blu-Ray, Audio CD, etc) to transfer the format to the NARA environment?",Total External Hardware Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Does the format rely on proprietary software to render or view files? ,"Does the format rely on plug-ins, scripts, etc. to render or view files?",Does the format rely on specific computing operating system(s) to render or view files?,Does the format rely on special tools to render or view files?,Total External Software Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Is the format subject to patent claims that may impede the development of open source tools for opening and managing the files?,Have the patent claims expired?,Are there fees associated with the format as a result of patent claims?,Does the format have open source license terms?,Total Impact of Patents Score. Highest possible score = 4; Lowest possible score = -4,Does the format have capability to encrypt all or part of the resulting file?,Does the format require the use of encryption?,Does the format support robust encryption? ,Can technical protection measures (e.g. digital rights management) be applied?,Does the format allow for embedded information such as watermarking? ,Total Technical Protection Mechanisms Score. Highest possible score = 10; Lowest possible score = -6,When was the Format Specification First Created?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,When was the Format Specification last updated?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,Total Format Age Score. Highest possible score = 0; Lowest possible score = -8,Total Format Risk/Sustainability Factor Numeric Score ,Risk/Sustainability Factor Status,Number of identified files in the combined NARA holdings,Percentage of 2 billion files in NARA ERA holdings,Prevalence: Format Adoption Level as measured by Proportion of File Format in the Overall NARA Holdings,"Feasibility: Ability to Convert (tools exist for conversion that does not alter content in unacceptable ways; NARA can perform acceptable transformations) Highest possible score=5, Lowest possible score =-5",NARA TOTAL
,,-19,High Risk,NF00468,Canon RAW 1.0,crw,Digital Still Image,-1,-1,-1,-1,-1,-5,2,2,-1,2,-1,4,-1,-1,-1,-1,-1,-1,-1,-7,1,1,1,-1,2,4,2,2,4,-2,-2,1,-2,-5,-1,-1,-1,-1,-4,-1,0,-1,-1,-1,-4,1998,-4,2012,-2,-6,-19,High Risk,5546971,0.277,-5,5,-19
,,-15,High Risk,NF00469,Canon RAW 2.0,cr2,Digital Still Image,-1,-1,-1,-1,-1,-5,2,2,-1,2,-1,4,-1,-1,-1,-1,-1,-1,-1,-7,1,1,1,-1,2,4,2,2,4,-2,-2,1,-2,-5,-1,-1,-1,-1,-4,-1,0,-1,-1,-1,-4,2008,-2,2019,0,-2,-15,High Risk,5546971,0.277,-5,5,-15
,,27,Low Risk,NF00141,Cascading Style Sheets 1.0,css,Web Records; Software and Code,2,2,0,2,2,8,2,2,2,2,0,8,1,1,0,1,1,1,1,6,-1,1,-1,0,0,-1,2,2,4,1,-2,1,-2,-2,1,0,0,1,2,2,2,2,2,2,10,1995,-4,1999,-4,-8,27,Low Risk,915,0,-5,5,27
,,29,Low Risk,NF00543,Cascading Style Sheets 2.0,css,Web Records; Software and Code,2,2,0,2,2,8,2,2,2,2,0,8,1,1,0,1,1,1,1,6,-1,1,-1,0,0,-1,2,2,4,1,-2,1,-2,-2,1,0,0,1,2,2,2,2,2,2,10,1998,-4,2011,-2,-6,29,Low Risk,915,0,-5,5,29
,,33,Low Risk,NF00544,Cascading Style Sheets 2.1,css,Web Records; Software and Code,2,2,0,2,2,8,2,2,2,2,0,8,1,1,0,1,1,1,1,6,-1,1,-1,0,0,-1,2,2,4,1,-2,1,-2,-2,1,0,0,1,2,2,2,2,2,2,10,2011,-2,2016,0,-2,33,Low Risk,915,0,-5,5,33
,,-5,Moderate Risk,NF00191,CCITT T.4 Group 3 compression (Fax image file),tiff; others,Digital Still Image,0,0,0,-2,0,-2,-2,-1,0,2,-1,-2,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,4,1,0,1,-2,0,0,0,0,0,0,0,2,0,-1,0,1,1998,-4,2005,-2,-6,-5,Moderate Risk,23135,0.001,-5,-3,-13
,,-7,Moderate Risk,NF00488,CCITT T.6 Group 4 compression (Fax image file),tiff; others,Digital Still Image,0,0,0,-2,0,-2,-2,-1,0,2,-1,-2,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,4,1,0,1,-2,0,0,0,0,0,0,0,2,0,-1,0,1,1998,-4,1990,-4,-8,-7,Moderate Risk,23135,0.001,-5,-3,-15
,,-7,Moderate Risk,NF00411,Checksum File,sum,Software and Code,-1,-1,-1,-2,0,-5,-2,2,0,0,2,2,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,4,-2,0,0,-2,-4,0,0,0,0,0,0,0,0,0,0,0,1985,-4,2017,0,-4,-7,Moderate Risk,2618,0,-5,3,-9
,,15,Moderate Risk,NF00545,Cold Fusion Component File,cfc,Software and Code,-1,-1,0,-2,0,-4,-2,2,2,0,-1,1,1,1,0,1,1,1,1,6,-1,1,-1,0,0,-1,2,2,4,1,1,1,-2,1,1,0,0,1,2,2,2,2,2,2,10,2003,-4,2018,0,-4,15,Moderate Risk,270,0,-5,3,13
,,13,Moderate Risk,NF00142,Cold Fusion Markup Language,cfm,Software and Code,-1,-1,0,-2,0,-4,-2,2,2,0,-1,1,1,1,0,1,1,1,1,6,-1,1,-1,0,0,-1,2,2,4,1,1,1,-2,1,1,0,0,1,2,2,2,2,2,2,10,1995,-4,2012,-2,-6,13,Moderate Risk,4720,0,-5,5,13
X,,38,Low Risk,NF00143,Comma Separated Values,csv,Structured Data,2,2,2,2,2,10,2,2,2,2,2,10,1,1,0,1,1,1,1,6,-1,-1,-1,0,0,-3,2,2,4,1,1,1,1,4,1,0,0,0,1,2,2,2,2,2,10,2005,-2,2005,-2,-4,38,Low Risk,426287,0.021,-5,5,38
,,24,Low Risk,NF00144,Common Data Format Toolkit,cdf,Software and Code,-1,2,2,-1,2,4,0,2,2,2,-1,5,1,1,1,1,1,0,,5,1,1,1,-1,1,3,2,2,4,0,1,1,1,3,1,1,1,1,4,0,,0,0,0,0,1985,-4,2015,0,-4,24,Low Risk,24,0,-5,-3,16
,,-3,Moderate Risk,NF00111,Compressed Archive File,arc,Software and Code,2,2,2,-2,2,6,-2,-1,0,0,-1,-4,-1,0,0,1,1,-1,-1,-1,-1,1,-1,0,0,-1,2,2,4,1,0,-2,-2,-3,-1,0,1,0,0,-1,2,-1,2,2,4,1985,-4,1988,-4,-8,-3,Moderate Risk,557,0,-5,5,-3
,,2,Moderate Risk,NF00145,Computer Graphics Metafile Binary 1,cgm,Multimedia,2,2,0,2,2,8,2,2,2,2,0,8,-1,1,1,0,1,0,0,2,0,0,0,0,0,0,-4,0,-4,-2,-2,0,-2,-6,1,0,0,0,1,0,0,0,-1,0,-1,1986,-4,2010,-2,-6,2,Moderate Risk,1,0,-5,-3,-6
,,2,Moderate Risk,NF00546,Computer Graphics Metafile Binary 2,cgm,Multimedia,2,2,0,2,2,8,2,2,2,2,0,8,-1,1,1,0,1,0,0,2,0,0,0,0,0,0,-4,0,-4,-2,-2,0,-2,-6,1,0,0,0,1,0,0,0,-1,0,-1,,-4,2010,-2,-6,2,Moderate Risk,1695,0,-5,-3,-6
,,2,Moderate Risk,NF00547,Computer Graphics Metafile Binary 3,cgm,Multimedia,2,2,0,2,2,8,2,2,2,2,0,8,-1,1,1,0,1,0,0,2,0,0,0,0,0,0,-4,0,-4,-2,-2,0,-2,-6,1,0,0,0,1,0,0,0,-1,0,-1,,-4,2010,-2,-6,2,Moderate Risk,1695,0,-5,-3,-6
,,2,Moderate Risk,NF00548,Computer Graphics Metafile Binary 4,cgm,Multimedia,2,2,0,2,2,8,2,2,2,2,0,8,-1,1,1,0,1,0,0,2,0,0,0,0,0,0,-4,0,-4,-2,-2,0,-2,-6,1,0,0,0,1,0,0,0,-1,0,-1,,-4,2010,-2,-6,2,Moderate Risk,1695,0,-5,-3,-6
,,5,Moderate Risk,NF00146,Configuration File,ini; conf; cnf; cfg; cf,Software and Code,2,-1,-1,-2,0,-2,-2,2,-1,2,-1,0,1,0,0,1,1,1,1,5,-1,1,-1,0,0,-1,2,2,4,0,1,1,1,3,0,0,0,0,0,2,0,0,0,2,4,1982,-4,1993,-4,-8,5,Moderate Risk,29635,0.001,-5,5,5
,,-30,High Risk,NF00148,Corel CMX Compressed,cpx,Digital Design,-1,-1,0,-2,-1,-5,-2,-2,-2,-1,-1,-8,-1,-1,-1,-1,-1,-1,-1,-7,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,1,-2,0,0,0,-1,-1,0,0,0,0,0,0,1995,-4,2018,0,-4,-30,High Risk,1,0,-5,-3,-38
,,-32,High Risk,NF00549,CorelDraw Compressed Drawing,cdx,Digital Design,-1,-1,0,-2,-1,-5,-2,-2,-2,-1,-1,-8,-1,-1,-1,-1,-1,-1,-1,-7,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,1,-2,0,0,0,-1,-1,0,0,0,0,0,0,1995,-4,2012,-2,-6,-32,High Risk,6160,0,-5,-3,-40
,,-31,High Risk,NF00147,CorelDraw Drawing 8.0,cdr ,Digital Design,-1,-1,0,-2,-1,-5,-2,-2,-2,2,-1,-5,-1,-1,-1,-1,-1,,,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,-2,-2,-8,0,0,0,-1,-1,0,0,0,0,0,0,1997,-4,2019,0,-4,-31,High Risk,9,0,-5,-3,-39
,,-31,High Risk,NF00478,CorelDraw Drawing 9.0,cdr,Digital Design,-1,-1,0,-2,-1,-5,-2,-2,-2,2,-1,-5,-1,-1,-1,-1,-1,,,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,-2,-2,-8,0,0,0,-1,-1,0,0,0,0,0,0,1999,-4,2019,0,-4,-31,High Risk,2,0,-5,-3,-39
,,-29,High Risk,NF00149,CorelDraw Wavelet Image File,wi; wvl,Digital Still Image,-1,-1,0,-2,-1,-5,-2,-2,-2,-1,-1,-8,-1,-1,-1,-1,-1,-1,-1,-7,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,1989,-4,2018,0,-4,-29,High Risk,42,0,-5,-3,-37
X,,13,Moderate Risk,NF00550,CouchDB,json,Databases,-1,2,0,2,0,3,-2,2,2,2,2,6,1,0,1,-1,1,1,0,3,1,1,1,1,1,5,2,2,4,-2,-2,,-2,-6,0,0,0,0,0,,0,0,0,0,0,2005,-2,2020,0,-2,13,Moderate Risk,0,0,-5,-5,3
,,-1,Moderate Risk,NF00150,Crystal Reports File,rpt,Presentation and Publishing,-1,-1,-1,-2,-1,-6,2,2,0,2,-1,5,-1,0,0,1,1,1,1,3,0,0,0,0,0,0,2,2,4,-2,-2,1,-2,-5,0,0,0,0,0,0,2,0,0,2,4,1991,-4,2011,-2,-6,-1,Moderate Risk,26311,0.001,-5,-3,-9
,,-1,Moderate Risk,NF00159,Custom Dictionary File,dct,Software and Code,0,-1,0,-2,0,-3,-2,0,2,2,2,4,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,-1,2,2,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,-4,,-4,-8,-1,Moderate Risk,11424,0.001,-5,3,-3
,,1,Moderate Risk,NF00151,Data File,dat,Software and Code,-1,-1,0,0,0,-2,2,2,0,0,-1,3,1,0,0,0,1,1,0,3,0,0,0,0,0,0,2,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,-4,,-4,-8,1,Moderate Risk,80158,0.004,-5,-3,-7
,,1,Moderate Risk,NF00152,db file: Paradox; Oracle; dBASE IV; dbvista; dBFast; XTreeGold;  XoftSpySE,db,Databases,0,0,0,0,0,0,0,2,0,0,-1,1,0,0,0,0,1,1,0,2,1,0,0,0,0,1,0,2,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,,-4,,-4,-8,1,Moderate Risk,120483,0.006,-5,-3,-7
,,25,Low Risk,NF00551,dBase for Windows 5,dbf,Databases,-1,2,2,-1,2,4,0,2,2,2,2,8,1,1,1,1,1,1,,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,,0,0,0,2,1994,-4,2012,-2,-6,25,Low Risk,346,0,-5,3,23
,,23,Low Risk,NF00153,dBase II,dbf,Databases,-1,2,2,-1,2,4,0,2,2,2,2,8,1,1,1,1,1,1,,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,,0,0,0,2,1983,-4,1997,-4,-8,23,Low Risk,100146,0.005,-5,3,21
,,25,Low Risk,NF00552,dBase III,dbf,Databases,-1,2,2,-1,2,4,0,2,2,2,2,8,1,1,1,1,1,1,,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,,0,0,0,2,1984,-4,2012,-2,-6,25,Low Risk,85509,0.004,-5,3,23
,,25,Low Risk,NF00553,dBase III+,dbf,Databases,-1,2,2,-1,2,4,0,2,2,2,2,8,1,1,1,1,1,1,,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,,0,0,0,2,1985,-4,2012,-2,-6,25,Low Risk,2,0,-5,3,23
,,23,Low Risk,NF00154,dBase Index File,ndx; mdx,Databases,-1,2,2,-1,2,4,0,2,2,2,2,8,1,1,1,1,1,1,,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,,0,0,0,2,1983,-4,1997,-4,-8,23,Low Risk,4035,0,-5,3,21
,,25,Low Risk,NF00554,dBase IV,dbf,Databases,-1,2,2,-1,2,4,0,2,2,2,2,8,1,1,1,1,1,1,,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,,0,0,0,2,1988,-4,2012,-2,-6,25,Low Risk,257,0,-5,3,23
,,-1,Moderate Risk,NF00155,dBASE or FoxBASE+Text Memo,dbt,Databases,-1,-1,-1,0,0,-3,-2,2,-1,0,-1,-2,1,0,0,-1,1,1,0,2,1,0,0,-1,0,0,2,2,4,0,1,1,1,3,0,0,0,-1,-1,0,2,0,0,0,2,1984,-4,2012,-2,-6,-1,Moderate Risk,166,0,-5,3,-3
,,25,Low Risk,NF00555,dBase V,dbf,Databases,-1,2,2,-1,2,4,0,2,2,2,2,8,1,1,1,1,1,1,,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,,0,0,0,2,1995,-4,2012,-2,-6,25,Low Risk,346,0,-5,3,23
,,-34,High Risk,NF00157,DesignCAD Drawing,dc; dc2,Digital Design,-1,-1,0,-2,-1,-5,-2,-2,-2,2,-1,-5,-1,-1,-1,-1,-1,,,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,-2,-2,-8,,,,,0,,,,,,0,1987,-4,2001,-4,-8,-34,High Risk,52,0,-5,-3,-42
,,-32,High Risk,NF00479,DesignCAD for Windows Drawing,dw2,Digital Design,-1,-1,0,-2,-1,-5,-2,-2,-2,2,-1,-5,-1,-1,-1,-1,-1,,,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,-2,-2,-8,,,,,0,,,,,,0,1996,-4,2013,-2,-6,-32,High Risk,564,0,-5,-3,-40
,,-1,Moderate Risk,NF00158,Dictionary Lexicon File,lex,Software and Code,0,-1,0,-2,0,-3,-2,0,2,2,2,4,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,-1,2,2,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,-4,,-4,-8,-1,Moderate Risk,11403,0.001,-5,3,-3
,,-12,Moderate Risk,NF00140,Digital camera RAW,raw,Digital Still Image,-1,-1,-1,-1,-1,-5,2,2,2,2,-1,7,-1,-1,-1,-1,1,-1,-1,-5,1,1,1,-1,2,4,2,2,4,-2,-2,1,-2,-5,-1,1,0,0,0,-1,0,-1,-1,-1,-4,2001,-4,2001,-4,-8,-12,Moderate Risk,5546971,0.277,-5,3,-14
,,28,Low Risk,NF00462,Digital Cinema Package (DCP),dcp,Digital Cinema,2,2,2,2,2,10,-2,2,2,2,2,6,1,1,0,1,1,0,0,4,1,1,1,0,2,5,2,2,4,1,1,1,-2,1,1,0,1,1,3,-1,0,-1,-1,0,-3,2005,-2,2018,0,-2,28,Low Risk,29,0,-5,3,26
,,7,Moderate Risk,NF00156,Digital Equipment Corp (DEC) WPS Plus ,dx; wpl,Textual and Word Processing,2,0,2,-2,0,2,-2,-1,-1,2,-1,-3,1,0,0,0,-1,1,1,2,-1,-1,-1,-1,0,-4,2,2,4,1,1,1,1,4,0,0,0,0,0,2,2,2,2,2,10,,-4,,-4,-8,7,Moderate Risk,4,0,-5,-5,-3
,,26,Low Risk,NF00161,Digital Negative Format 1.0,dng,Digital Still Image,-1,2,0,-1,2,2,-2,2,2,2,0,4,-1,1,0,0,1,1,1,3,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,-1,1,1,1,2,2,2,2,2,-1,7,2004,-4,2019,0,-4,26,Low Risk,38942,0.002,-5,5,26
,,28,Low Risk,NF00480,Digital Negative Format 1.1,dng,Digital Still Image,-1,2,0,-1,2,2,-2,2,2,2,0,4,-1,1,0,0,1,1,1,3,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,-1,1,1,1,2,2,2,2,2,-1,7,2005,-2,2019,0,-2,28,Low Risk,3,0,-5,5,28
,,28,Low Risk,NF00481,Digital Negative Format 1.2,dng,Digital Still Image,-1,2,0,-1,2,2,-2,2,2,2,0,4,-1,1,0,0,1,1,1,3,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,-1,1,1,1,2,2,2,2,2,-1,7,2008,-2,2019,0,-2,28,Low Risk,38942,0.002,-5,5,28
,,28,Low Risk,NF00482,Digital Negative Format 1.3,dng,Digital Still Image,-1,2,0,-1,2,2,-2,2,2,2,0,4,-1,1,0,0,1,1,1,3,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,-1,1,1,1,2,2,2,2,2,-1,7,2009,-2,2019,0,-2,28,Low Risk,2300,0,-5,5,28
,X,28,Low Risk,NF00483,Digital Negative Format 1.4,dng,Digital Still Image,-1,2,0,-1,2,2,-2,2,2,2,0,4,-1,1,0,0,1,1,1,3,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,-1,1,1,1,2,2,2,2,2,-1,7,2012,-2,2019,0,-2,28,Low Risk,38942,0.002,-5,5,28
X,,31,Low Risk,NF00160,Digital Picture Exchange (DPX),dpx,Digital Cinema,2,2,2,2,2,10,0,2,2,2,2,8,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,-2,-2,-2,1,1,0,-1,1,0,2,0,2,0,4,1994,-4,2003,-4,-8,31,Low Risk,16,0,-5,5,31
,,6,Moderate Risk,NF00164,Drawing Interchange File Format ASCII 2004/2005/2006,dxf ,Digital Design,-1,2,2,0,0,3,0,0,2,,2,4,1,1,1,1,1,1,1,7,-1,-1,-1,-1,-1,-5,2,0,2,1,1,1,0,3,,,,,0,,,,,,0,,-4,,-4,-8,6,Moderate Risk,411,0,-5,-3,-2
,,6,Moderate Risk,NF00163,Drawing Interchange File Format ASCII 2011-2012,dxf,Digital Design,-1,2,2,0,0,3,0,0,2,,2,4,1,1,1,1,1,1,1,7,-1,-1,-1,-1,-1,-5,2,0,2,1,1,1,0,3,,,,,0,,,,,,0,,-4,,-4,-8,6,Moderate Risk,12,0,-5,-3,-2
,,6,Moderate Risk,NF00165,Drawing Interchange File Format ASCII Generic,dxf ,Digital Design,-1,2,2,0,0,3,0,0,2,,2,4,1,1,1,1,1,1,1,7,-1,-1,-1,-1,-1,-5,2,0,2,1,1,1,0,3,,,,,0,,,,,,0,,-4,,-4,-8,6,Moderate Risk,428,0,-5,-3,-2
,,-3,Moderate Risk,NF00166,DVD Data Backup File,bup,Software and Code,2,2,2,2,2,10,-2,2,2,2,-1,3,-1,0,0,0,1,1,0,1,0,1,1,2,0,4,-4,-4,-8,-2,0,1,-2,-3,0,0,0,-1,-1,-1,-2,-1,-1,2,-3,1995,-4,2009,-2,-6,-3,Moderate Risk,6679,0,-5,5,-3
,,-3,Moderate Risk,NF00167,DVD Data File,dvd,Software and Code,2,2,2,2,2,10,-2,2,2,2,-1,3,-1,0,0,0,1,1,0,1,0,1,1,2,0,4,-4,-4,-8,-2,0,1,-2,-3,0,0,0,-1,-1,-1,-2,-1,-1,2,-3,1995,-4,2009,-2,-6,-3,Moderate Risk,12,0,-5,5,-3
,,-3,Moderate Risk,NF00168,DVD Info File,ifo,Software and Code,2,2,2,2,2,10,-2,2,2,2,-1,3,-1,0,0,0,1,1,0,1,0,1,1,2,0,4,-4,-4,-8,-2,0,1,-2,-3,0,0,0,-1,-1,-1,-2,-1,-1,2,-3,1995,-4,2009,-2,-6,-3,Moderate Risk,8,0,-5,5,-3
X,,30,Low Risk,NF00170,Electronic Mail Format,eml,Email,2,-1,2,-1,-1,1,2,2,2,2,2,10,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,-1,2,-1,-1,2,1,1982,-4,2013,-2,-6,30,Low Risk,777254243,38.863,-15,5,20
,,23,Low Risk,NF00171,Encapsulated PostScript File Format 1.2,eps,Presentation and Publishing,-1,2,2,-2,2,3,-2,2,-1,2,2,3,1,1,1,1,1,1,1,7,1,-1,-1,-1,-1,-3,2,2,4,1,1,1,1,4,1,1,1,0,3,2,2,2,2,2,10,1985,-4,1992,-4,-8,23,Low Risk,792941,0.04,-5,2,20
,,23,Low Risk,NF00484,Encapsulated PostScript File Format 2,eps,Presentation and Publishing,-1,2,2,-2,2,3,-2,2,-1,2,2,3,1,1,1,1,1,1,1,7,1,-1,-1,-1,-1,-3,2,2,4,1,1,1,1,4,1,1,1,0,3,2,2,2,2,2,10,1989,-4,1992,-4,-8,23,Low Risk,792941,0.04,-5,2,20
,,23,Low Risk,NF00485,Encapsulated PostScript File Format 3,eps,Presentation and Publishing,-1,2,2,-2,2,3,-2,2,-1,2,2,3,1,1,1,1,1,1,1,7,1,-1,-1,-1,-1,-3,2,2,4,1,1,1,1,4,1,1,1,0,3,2,2,2,2,2,10,1992,-4,1992,-4,-8,23,Low Risk,792941,0.04,-5,2,20
,,25,Low Risk,NF00172,EndNote Import File,enw,Textual and Word Processing,-1,2,2,-2,2,3,-2,2,2,2,-2,2,1,1,1,0,1,1,1,6,1,0,0,-1,1,1,2,2,4,1,1,1,1,4,0,0,1,0,1,2,2,2,2,0,8,1995,-4,2019,0,-4,25,Low Risk,51,0,-5,3,23
,,4,Moderate Risk,NF00258,Enhanced Metafile 1.0,emf; emz,Digital Design,-1,2,2,-2,2,3,-2,2,2,2,-1,3,-1,1,0,-1,1,1,-1,0,0,1,1,0,0,2,2,2,4,-2,-2,1,-2,-5,0,0,0,0,0,0,0,0,-1,0,-1,2007,-2,2017,0,-2,4,Moderate Risk,19696,0.001,-5,-3,-4
,,4,Moderate Risk,NF00500,Enhanced Metafile 2.0,emf; emz,Digital Design,-1,2,2,-2,2,3,-2,2,2,2,-1,3,-1,1,0,-1,1,1,-1,0,0,1,1,0,0,2,2,2,4,-2,-2,1,-2,-5,0,0,0,0,0,0,0,0,-1,0,-1,2007,-2,2017,0,-2,4,Moderate Risk,19696,0.001,-5,-3,-4
,,4,Moderate Risk,NF00501,Enhanced Metafile 3.0,emf; emz,Digital Design,-1,2,2,-2,2,3,-2,2,2,2,-1,3,-1,1,0,-1,1,1,-1,0,0,1,1,0,0,2,2,2,4,-2,-2,1,-2,-5,0,0,0,0,0,0,0,0,-1,0,-1,2007,-2,2017,0,-2,4,Moderate Risk,19696,0.001,-5,-3,-4
,,30,Low Risk,NF00556,ePub ebook,epub,Multimedia,2,2,2,2,2,10,2,2,2,2,2,10,1,0,1,1,1,0,0,4,1,1,1,1,1,5,2,2,4,1,1,1,-2,1,1,0,0,1,2,0,0,0,-1,-1,-2,1999,-4,2017,0,-4,30,Low Risk,5,0,-5,3,28
,X,5,Moderate Risk,NF00173,ESRI ArcInfo Interchange File Format,e00,GIS,-1,-1,-1,-1,-1,-5,2,0,0,2,-1,3,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,0,-2,2,2,4,1,-2,1,1,1,-1,-1,0,-1,-3,2,2,2,2,2,10,2005,-2,2011,-2,-4,5,Moderate Risk,11,0,-5,5,5
,X,5,Moderate Risk,NF00557,ESRI Shapefile (Arc/View Shapefile Index) ,shx,GIS,-1,2,-1,-1,2,1,2,2,0,2,2,8,-1,1,1,-1,1,,,1,-1,-1,-1,-1,-1,-5,2,2,4,-2,0,1,0,-1,-1,-1,0,-1,-3,2,,2,2,2,8,1998,-4,1998,-4,-8,5,Moderate Risk,85301,0.004,-5,5,5
,X,5,Moderate Risk,NF00558,ESRI Shapefile (dBASE Table for ESRI Shapefile) ,dbf,GIS,-1,2,-1,-1,2,1,2,2,0,2,2,8,-1,1,1,-1,1,,,1,-1,-1,-1,-1,-1,-5,2,2,4,-2,0,1,0,-1,-1,-1,0,-1,-3,2,,2,2,2,8,1998,-4,1998,-4,-8,5,Moderate Risk,85296,0.004,-5,5,5
,X,5,Moderate Risk,NF00559,ESRI Shapefile (ESRI Header Index) ,prj,GIS,-1,2,-1,-1,2,1,2,2,0,2,2,8,-1,1,1,-1,1,,,1,-1,-1,-1,-1,-1,-5,2,2,4,-2,0,1,0,-1,-1,-1,0,-1,-3,2,,2,2,2,8,1998,-4,1998,-4,-8,5,Moderate Risk,,0,-5,5,5
,X,5,Moderate Risk,NF00560,ESRI Shapefile (ESRI Spatial Index File) ,sbx; sbn,GIS,-1,2,-1,-1,2,1,2,2,0,2,2,8,-1,1,1,-1,1,,,1,-1,-1,-1,-1,-1,-5,2,2,4,-2,0,1,0,-1,-1,-1,0,-1,-3,2,,2,2,2,8,1998,-4,1998,-4,-8,5,Moderate Risk,1696,0,-5,5,5
,X,5,Moderate Risk,NF00174,ESRI Shapefile Compound File,shp; sbn; dbf; prj; shx; sbx,GIS,-1,2,-1,-1,2,1,2,2,0,2,2,8,-1,1,1,-1,1,,,1,-1,-1,-1,-1,-1,-5,2,2,4,-2,0,1,0,-1,-1,-1,0,-1,-3,2,,2,2,2,8,1998,-4,1998,-4,-8,5,Moderate Risk,173230,0.009,-5,3,3
,,5,Moderate Risk,NF00175,ESRI World File,wld; blw; bpw; bqw; gfw; tfw,GIS,-1,2,-1,-1,2,1,2,2,0,2,2,8,-1,1,1,-1,1,,,1,-1,-1,-1,-1,-1,-5,2,2,4,-2,0,1,0,-1,-1,-1,0,-1,-3,2,,2,2,2,8,1998,-4,1998,-4,-8,5,Moderate Risk,8,0,-5,3,3
