NARA Transfer Guidance: Preferred,NARA Transfer Guidance: Acceptable,Numeric Risk Rating,Risk Level,NARA Format ID,Format Name,File Extension(s),Category/Plan(s),Is the format proprietary?,Does the format have a published open specification?,Are there available tools that can validate the technical integrity of a file encoded in this format against the published specification?,Has the specification been approved and published by an internationally recognized standards body?,Is the available specification complete and accurate?,Total Disclosure Score. Highest possible score = 10; Lowest possible score = -6,Is the file format commonly used to create or maintain permanent records within the federal government?,Is the file format commonly used outside the federal government?,"Is the format actively maintained and updated by an organization, individual, or community?",Are multiple renderers available?,Have the archives or library communities identified the format as one they prefer for creation and transfer of permanent materials?,Total Adoption Score: Highest possible score = 10; Lowest possible score = -6,Is the format human readable and can it be opened with a text editor?,Does the available specification provide enough detail to allow basic analysis of the file format with hex editors or other inspection tools?,Does the format rely on standard character or other encoding methods such as IEEE notations?,Is the source code of the software used to create the format available for little or no cost?,Is the software used to create the format supported by current computing environments?,Does the format require the use of compression?,Does the format support user-definable compression levels or other quality settings that affect significant properties?,Total Transparency Score. Highest possible score = 7; Lowest possible score = -7,Does the format support self-contained (embedded) descriptive metadata?,Does the format support self-contained technical metadata?,Does the format support self-contained administrative metadata?,Does the format metadata adhere to an international standard?,Is the format metadata robust enough for an accurate file analysis?,Total Self-Documentation Score. Highest possible score = 7; Lowest possible score = -5,"Does the format require a specific hardware environment, such as a specific graphics card, chipset, or memory requirements, to process or interact with it?","Does the format require specific playback hardware (e.g., Blu-Ray, Audio CD, etc) to transfer the format to the NARA environment?",Total External Hardware Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Does the format rely on proprietary software to render or view files?,"Does the format rely on plug-ins, scripts, etc. to render or view files?",Does the format rely on specific computing operating system(s) to render or view files?,Does the format rely on special tools to render or view files?,Total External Software Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Is the format subject to patent claims that may impede the development of open source tools for opening and managing the files?,Have the patent claims expired?,Are there fees associated with the format as a result of patent claims?,Does the format have open source license terms?,Total Impact of Patents Score. Highest possible score = 4; Lowest possible score = -4,Does the format have capability to encrypt all or part of the resulting file?,Does the format require the use of encryption?,Does the format support robust encryption?,Can technical protection measures (e.g. digital rights management) be applied?,Does the format allow for embedded information such as watermarking?,Total Technical Protection Mechanisms Score. Highest possible score = 10; Lowest possible score = -6,When was the Format Specification First Created?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,When was the Format Specification last updated?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,Total Format Age Score. Highest possible score = 0; Lowest possible score = -8,Total Format Risk/Sustainability Factor Numeric Score,Risk/Sustainability Factor Status,Percentage of 2 billion files in NARA ERA holdings,Prevalence: Format Adoption Level as measured by Proportion of File Format in the Overall NARA Holdings,"Feasibility: Ability to Convert (tools exist for conversion that does not alter content in unacceptable ways; NARA can perform acceptable transformations) Highest possible score=5, Lowest possible score =-5",NARA TOTAL
,,-7.00,Moderate Risk,NF00128,AutoCAD component: Named Plot Style Table,stb,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,0,2,2,2,-1,5,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,2,2,0,2,6,2002,-4,2002,-4,-8,-7.00,Moderate Risk,0.000,-5,3,-9
,,-7.00,Moderate Risk,NF00132,AutoCAD component: Script,scr,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,0,2,2,2,-1,5,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,2,2,0,2,6,2002,-4,2002,-4,-8,-7.00,Moderate Risk,0.000,-5,3,-9
,,-3.00,Moderate Risk,NF00118,AutoCAD Drawing (2000-2002),dwg,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,0,2,2,2,2,8,-1,-1,-1,-1,-1,0,-1,-6,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,-1,0,0,0,-1,0,2,2,0,2,6,1999,-4,2001,-4,-8,-3.00,Moderate Risk,0.000,-5,3,-5
,,-4.00,Moderate Risk,NF00119,AutoCAD Drawing (2004-2005),dwg,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,0,2,2,2,2,8,-1,-1,-1,-1,-1,0,-1,-6,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,-1,0,0,0,-1,-1,2,2,0,2,5,2003,-4,2004,-4,-8,-4.00,Moderate Risk,0.000,-5,3,-6
,,-4.00,Moderate Risk,NF00120,AutoCAD Drawing (2007-2008),dwg,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,0,2,2,2,2,8,-1,-1,-1,-1,-1,0,-1,-6,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,-1,0,0,0,-1,-1,2,2,0,2,5,2006,-4,2005,-4,-8,-4.00,Moderate Risk,0.000,-5,3,-6
,,-2.00,Moderate Risk,NF00121,AutoCAD Drawing (2010-2012),dwg,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,0,2,2,2,2,8,-1,-1,-1,-1,-1,0,-1,-6,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,-1,0,0,0,-1,-1,2,2,0,2,5,2009,-2,2007,-4,-6,-2.00,Moderate Risk,0.000,-5,3,-4
,,-1.00,Moderate Risk,NF00129,AutoCAD Drawing (R10),dwg,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,0,2,2,2,2,8,-1,-1,-1,-1,-1,0,-1,-6,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,-1,0,0,0,-1,0,2,2,0,2,6,1988,-4,2009,-2,-6,-1.00,Moderate Risk,0.000,-5,3,-3
,,-1.00,Moderate Risk,NF00130,AutoCAD Drawing (R11/12),dwg,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,0,2,2,2,2,8,-1,-1,-1,-1,-1,0,-1,-6,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,-1,0,0,0,-1,0,2,2,0,2,6,1990,-4,2010,-2,-6,-1.00,Moderate Risk,0.000,-5,3,-3
,,-1.00,Moderate Risk,NF00131,AutoCAD Drawing (R14),dwg,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,0,2,2,2,2,8,-1,-1,-1,-1,-1,0,-1,-6,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,-1,0,0,0,-1,0,2,2,0,2,6,1997,-4,2013,-2,-6,-1.00,Moderate Risk,0.000,-5,3,-3
,,-1.00,Moderate Risk,NF00649,AutoCAD Drawing unspecified version,dwg,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,2,10,-1,-1,-1,-1,-1,0,-1,-6,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,-1,0,0,0,-1,0,2,2,0,2,6,1982,-4,,-4,-8,-1.00,Moderate Risk,0.003,-5,3,-3
,,3.00,Moderate Risk,NF00133,AutoDesk Revit Template,rte,Digital Design and Vector Graphics,-1,-1,0,-2,-1,-5,2,2,2,0,-1,5,-1,0,0,0,0,0,0,-1,1,1,-1,0,0,1,2,2,4,1,0,0,-2,-1,-1,0,0,-1,-2,0,2,2,0,2,6,2000,-4,2018,0,-4,3.00,Moderate Risk,0.000,-5,3,1
,,-18.00,High Risk,NF00817,Avid Pro Tools Session 5.1-6.9,pts,Digital Audio,-1,-1,-1,-2,-1,-6,0,2,-1,-1,0,0,-1,-1,0,-1,-1,0,-1,-5,0,0,0,0,0,0,2,2,4,-2,1,1,1,1,-1,-1,0,-1,-3,0,0,0,-1,0,-1,2001,-4,2004,-4,-8,-18.00,High Risk,0.000,-5,-3,-26
,,-15.00,High Risk,NF00734,Backup File,bak|old|sb|bck,Software and Code,-1,-1,-1,0,-1,-4,0,0,2,-1,-1,0,-1,0,0,-1,1,-1,0,-2,0,1,1,0,0,2,2,2,4,-2,0,-2,-2,-6,0,0,0,-1,-1,-1,2,0,-1,0,0,1981,-4,1981,-4,-8,-15.00,High Risk,0.000,-5,5,-15
,,1.00,Moderate Risk,NF00134,Batch Script,bat|cmd|btm,Software and Code,2,-1,2,-2,0,1,0,2,0,2,-1,3,1,0,1,1,1,1,-1,4,-1,-1,-1,0,0,-3,2,2,4,-2,-2,-2,-2,-8,0,0,0,0,0,2,2,2,0,2,8,1982,-4,1982,-4,-8,1.00,Moderate Risk,0.000,-5,5,1
,,-19.00,High Risk,NF00820,Beyond TV Transport Stream,tp,Digital Video,-1,-1,-1,-2,-1,-6,0,0,-1,-1,-1,-3,-1,-1,0,-1,-1,0,0,-4,0,0,0,0,0,0,2,0,2,-2,0,1,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,2000,-4,2010,-2,-6,-19.00,High Risk,0.000,-5,-5,-29
,,-23.00,High Risk,NF00135,Binary file,bin,Software and Code,0,-1,-1,-2,-1,-5,0,2,0,0,-1,1,-1,0,0,0,1,-1,-1,-2,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-8,0,0,0,0,0,-1,0,-1,-1,2,-1,,-4,,-4,-8,-23.00,High Risk,0.000,-5,5,-23
,,-27.00,High Risk,NF00702,BlackBerry Binary Executable,cod,Software and Code,-1,-1,-1,0,0,-3,2,0,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,-3,0,1,1,0,0,2,-4,-4,-8,-2,-2,-2,-2,-8,0,0,0,-1,-1,0,0,0,0,1,1,1999,-4,2016,-2,-6,-27.00,High Risk,0.001,-5,5,-27
X,,45.00,Low Risk,NF00650,Broadcast Wave (BWF) unspecified version,wav,Digital Audio,-1,2,2,2,2,7,2,2,2,2,2,10,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,1,4,2,2,2,2,2,10,1991,-4,,-4,-8,45.00,Low Risk,0.001,-5,5,45
X,,43.00,Low Risk,NF00136,Broadcast Wave (BWF) v. 0,wav,Digital Audio,-1,2,2,2,2,7,0,2,2,2,2,8,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,1,4,2,2,2,2,2,10,1997,-4,,-4,-8,43.00,Low Risk,0.002,-5,5,43
X,,43.00,Low Risk,NF00539,Broadcast Wave (BWF) v. 1,wav,Digital Audio,-1,2,2,2,2,7,0,2,2,2,2,8,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,1,4,2,2,2,2,2,10,2001,-4,2003,-4,-8,43.00,Low Risk,0.002,-5,5,43
X,,47.00,Low Risk,NF00540,Broadcast Wave (BWF) v. 2,wav,Digital Audio,-1,2,2,2,2,7,0,2,2,2,2,8,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,1,4,2,2,2,2,2,10,2011,-2,2012,-2,-4,47.00,Low Risk,0.002,-5,5,47
,,-17.00,High Risk,NF00713,Broderbund The Print Shop Letterhead,let,Presentation and Publishing,-1,-1,-1,-2,0,-5,0,0,-1,-1,-1,-3,-1,0,0,-1,1,0,0,-1,0,1,1,0,0,2,2,2,4,-2,0,-2,-2,-6,0,0,0,-1,-1,0,0,0,-1,0,-1,2000,-4,2010,-2,-6,-17.00,High Risk,0.000,-5,-3,-25
X,,15.00,Moderate Risk,NF00636,BSB,kap|cap|bsb,Navigational Charts,2,2,0,2,2,8,0,2,2,2,2,8,-1,0,0,0,1,1,-1,0,1,1,1,2,2,7,2,2,4,1,-2,1,-2,-2,0,0,0,-1,-1,-1,2,-1,0,-1,-1,1998,-4,2004,-4,-8,15.00,Moderate Risk,0.000,-5,3,13
,,32.00,Low Risk,NF00594,BSON,bson,Databases,-1,2,2,2,2,7,0,2,2,2,2,8,1,1,1,1,1,1,0,6,1,1,1,2,2,7,2,2,4,1,1,1,-2,1,0,0,0,1,1,0,0,0,0,0,0,2009,-2,2020,0,-2,32.00,Low Risk,0.000,-5,3,30
,,-3.00,Moderate Risk,NF00137,Btrieve 5.1,btr,Databases,-1,-1,2,-2,0,-2,0,2,-1,0,-1,0,-1,1,1,0,1,0,0,2,1,1,0,0,2,4,2,2,4,-2,0,-2,-2,-6,0,0,0,0,0,-1,2,-1,-1,2,1,1982,-4,2016,-2,-6,-3.00,Moderate Risk,0.000,-5,-3,-11
,,-3.00,Moderate Risk,NF00541,Btrieve 6.0,btr,Databases,-1,-1,2,-2,0,-2,0,2,-1,0,-1,0,-1,1,1,0,1,0,0,2,1,1,0,0,2,4,2,2,4,-2,0,-2,-2,-6,0,0,0,0,0,-1,2,-1,-1,2,1,1992,-4,2016,-2,-6,-3.00,Moderate Risk,0.000,-5,-3,-11
,,-3.00,Moderate Risk,NF00542,Btrieve 6.1,btr,Databases,-1,-1,2,-2,0,-2,0,2,-1,0,-1,0,-1,1,1,0,1,0,0,2,1,1,0,0,2,4,2,2,4,-2,0,-2,-2,-6,0,0,0,0,0,-1,2,-1,-1,2,1,1995,-4,2016,-2,-6,-3.00,Moderate Risk,0.000,-5,-3,-11
,,13.00,Moderate Risk,NF00732,C/C++/Objective-C Header File,h|hpp|hxx,Software and Code,2,-1,-1,-2,0,-2,0,2,-1,2,-1,2,1,0,0,1,1,1,1,5,1,1,1,0,0,3,2,2,4,1,1,1,1,4,0,0,0,1,1,0,0,0,0,0,0,1972,-4,2018,0,-4,13.00,Moderate Risk,0.001,-5,5,13
,,27.00,Low Risk,NF00138,C# Code,cs,Software and Code,-1,2,2,-2,2,3,2,2,2,2,-1,7,1,1,0,-1,1,1,1,4,-1,1,-1,0,0,-1,2,2,4,1,1,1,1,4,0,0,0,0,0,2,2,2,2,2,10,2000,-4,2018,0,-4,27.00,Low Risk,0.003,-5,5,27
,,22.00,Moderate Risk,NF00139,CALS Compressed Bitmap,cal|ct1|ct2,Digital Still Image,2,2,2,0,2,8,0,2,2,0,-1,3,0,1,1,1,1,0,0,4,0,1,0,2,1,4,2,2,4,1,1,1,1,4,1,1,1,-1,2,-1,0,0,0,0,-1,1988,-4,2010,-2,-6,22.00,Moderate Risk,0.000,-5,3,20
,,-22.00,High Risk,NF00468,Canon RAW 1.0,crw,Digital Still Image,-1,-1,-1,-2,-1,-6,0,2,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-7,1,1,1,-1,2,4,2,2,4,-2,-2,1,-2,-5,-1,-1,-1,-1,-4,-1,0,-1,-1,-1,-4,1998,-4,2012,-2,-6,-22.00,High Risk,0.000,-5,3,-24
,,-16.00,High Risk,NF00469,Canon RAW 2.0,cr2,Digital Still Image,-1,-1,-1,-2,-1,-6,2,2,-1,2,-1,4,-1,-1,-1,-1,-1,-1,-1,-7,1,1,1,-1,2,4,2,2,4,-2,-2,1,-2,-5,-1,-1,-1,-1,-4,-1,0,-1,-1,-1,-4,2008,-2,2019,0,-2,-16.00,High Risk,0.277,-5,3,-18
,,25.00,Low Risk,NF00141,Cascading Style Sheets 1.0,css,Web Records|Software and Code,2,2,0,2,2,8,0,2,2,2,0,6,1,1,0,1,1,1,1,6,-1,1,-1,0,0,-1,2,2,4,1,-2,1,-2,-2,1,0,0,1,2,2,2,2,2,2,10,1995,-4,1999,-4,-8,25.00,Low Risk,0.000,-5,5,25
,,27.00,Low Risk,NF00543,Cascading Style Sheets 2.0,css,Web Records|Software and Code,2,2,0,2,2,8,0,2,2,2,0,6,1,1,0,1,1,1,1,6,-1,1,-1,0,0,-1,2,2,4,1,-2,1,-2,-2,1,0,0,1,2,2,2,2,2,2,10,1998,-4,2011,-2,-6,27.00,Low Risk,0.000,-5,5,27
,,31.00,Low Risk,NF00544,Cascading Style Sheets 2.1,css,Web Records|Software and Code,2,2,0,2,2,8,0,2,2,2,0,6,1,1,0,1,1,1,1,6,-1,1,-1,0,0,-1,2,2,4,1,-2,1,-2,-2,1,0,0,1,2,2,2,2,2,2,10,2011,-2,2021,0,-2,31.00,Low Risk,0.000,-5,5,31
,,27.00,Low Risk,NF00651,Cascading Style Sheets unspecified version,css,Web Records|Software and Code,2,2,0,2,2,8,2,2,2,2,0,8,1,1,0,1,1,1,1,6,-1,1,-1,0,0,-1,2,2,4,1,-2,1,-2,-2,1,0,0,1,2,2,2,2,2,2,10,1995,-4,,-4,-8,27.00,Low Risk,0.009,-5,5,27
,,5.00,Moderate Risk,NF00772,CC:Mail archive,cca,Email,-1,-1,-1,-2,-1,-6,0,0,-1,-1,-1,-3,1,0,1,-1,-1,0,1,1,1,1,1,2,0,5,2,2,4,1,1,1,1,4,1,1,1,-1,2,0,2,0,2,2,6,1985,-4,2000,-4,-8,5.00,Moderate Risk,0.000,-5,5,5
,,-4.00,Moderate Risk,NF00191,CCITT T.4 Group 3 compression (Fax image file),tiff|others,Digital Still Image,0,0,0,-2,0,-2,0,0,0,2,-1,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,4,1,0,1,-2,0,0,0,0,0,0,0,2,0,-1,0,1,1998,-4,2005,-4,-8,-4.00,Moderate Risk,0.001,-5,3,-6
,,-4.00,Moderate Risk,NF00488,CCITT T.6 Group 4 compression (Fax image file),tiff|others,Digital Still Image,0,0,0,-2,0,-2,0,0,0,2,-1,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,4,1,0,1,-2,0,0,0,0,0,0,0,2,0,-1,0,1,1998,-4,1990,-4,-8,-4.00,Moderate Risk,0.001,-5,3,-6
,,39.00,Low Risk,NF00833,CDX Internet Archive Index,cdx,Web Records,2,2,2,2,2,10,0,2,2,2,2,8,1,1,1,1,1,1,-1,5,0,0,0,0,0,0,2,2,4,1,1,1,1,4,1,1,1,1,4,2,2,2,2,2,10,2006,-4,2015,-2,-6,39.00,Low Risk,0.000,-5,5,39
,,-7.00,Moderate Risk,NF00411,Checksum File,sum,Software and Code,-1,-1,-1,-2,0,-5,0,2,0,0,2,4,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,4,-2,0,0,-2,-4,0,0,0,0,0,0,0,0,0,0,0,1985,-4,2017,-2,-6,-7.00,Moderate Risk,0.000,-5,5,-7
,,17.00,Moderate Risk,NF00545,Cold Fusion Component File,cfc,Software and Code,-1,-1,0,-2,0,-4,0,2,2,0,-1,3,1,1,0,1,1,1,1,6,-1,1,-1,0,0,-1,2,2,4,1,1,1,-2,1,1,0,0,1,2,2,2,2,2,2,10,2003,-4,2018,0,-4,17.00,Moderate Risk,0.000,-5,5,17
,,15.00,Moderate Risk,NF00142,Cold Fusion Markup Language,cfm,Software and Code,-1,-1,0,-2,0,-4,0,2,2,0,-1,3,1,1,0,1,1,1,1,6,-1,1,-1,0,0,-1,2,2,4,1,1,1,-2,1,1,0,0,1,2,2,2,2,2,2,10,1995,-4,2012,-2,-6,15.00,Moderate Risk,0.001,-5,5,15
X,,34.00,Low Risk,NF00143,Comma Separated Values,csv,Structured Data,2,2,2,2,2,10,2,2,2,2,2,10,1,1,0,1,1,1,1,6,-1,-1,-1,0,0,-3,2,2,4,1,1,1,1,4,1,0,0,0,1,2,2,2,2,2,10,2005,-4,2005,-4,-8,34.00,Low Risk,0.029,-5,5,34
,,31.00,Low Risk,NF00725,Command manual,man,Software and Code,2,2,-1,2,2,7,0,2,2,2,-1,5,1,1,0,1,1,1,1,6,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,0,0,1,2,0,2,0,0,0,2,1971,-4,2010,-2,-6,31.00,Low Risk,0.000,-5,5,31
,,21.00,Moderate Risk,NF00144,Common Data Format Toolkit,cdf,Software and Code,-1,2,2,-2,2,3,0,2,2,2,-1,5,1,1,1,1,1,0,-1,4,1,1,1,-1,2,4,2,2,4,0,1,1,1,3,1,1,1,1,4,0,0,0,0,0,0,1985,-4,2015,-2,-6,21.00,Moderate Risk,0.000,-5,5,21
,,-7.00,Moderate Risk,NF00790,CompeGPS Land Track file,trk,Geospatial,-1,-1,-1,-2,-1,-6,0,0,2,2,-1,3,0,-1,0,1,1,0,0,1,1,1,1,0,0,3,2,2,4,-2,1,0,-2,-3,0,0,0,-1,-1,0,0,0,0,0,0,2001,-4,,-4,-8,-7.00,Moderate Risk,0.000,-5,3,-9
,,0.00,Moderate Risk,NF00111,Compressed Archive File,arc,Software and Code,2,2,2,-2,2,6,0,0,0,0,-1,-1,-1,0,0,1,1,-1,-1,-1,-1,1,-1,0,0,-1,2,2,4,1,0,-2,-2,-3,-1,0,1,0,0,-1,2,-1,2,2,4,1985,-4,1988,-4,-8,0.00,Moderate Risk,0.000,-5,3,-2
,,-21.00,High Risk,NF00774,Compressed ARX file archive,arx,Software and Code,-1,-1,-1,-2,0,-5,0,0,-1,-1,-1,-3,-1,0,0,-1,-1,-1,0,-4,0,0,0,0,0,0,2,2,4,-2,0,-2,-2,-6,0,0,0,-1,-1,0,0,0,0,2,2,1994,-4,,-4,-8,-21.00,High Risk,0.000,-5,5,-21
,,8.00,Moderate Risk,NF00691,Compressed Dynamic Link Library (DLL),dl_,Software and Code,-1,2,-1,-2,0,-2,2,0,2,-1,-1,2,-1,1,0,1,1,-1,1,2,0,1,1,0,2,4,2,2,4,-2,1,-2,-2,-5,0,0,0,-1,-1,2,2,2,2,0,8,2012,-2,2012,-2,-4,8.00,Moderate Risk,0.003,-5,5,8
,,4.00,Moderate Risk,NF00145,Computer Graphics Metafile Binary 1,cgm,Digital Still Image,2,2,2,2,2,10,0,2,2,2,0,6,-1,1,1,0,1,0,0,2,0,0,0,0,0,0,-4,0,-4,-2,0,0,-2,-4,1,0,0,0,1,0,0,0,-1,0,-1,1987,-4,2010,-2,-6,4.00,Moderate Risk,0.000,-5,5,4
,,4.00,Moderate Risk,NF00546,Computer Graphics Metafile Binary 2,cgm,Digital Still Image,2,2,2,2,2,10,0,2,2,2,0,6,-1,1,1,0,1,0,0,2,0,0,0,0,0,0,-4,0,-4,-2,0,0,-2,-4,1,0,0,0,1,0,0,0,-1,0,-1,1992,-4,2010,-2,-6,4.00,Moderate Risk,0.000,-5,5,4
,,4.00,Moderate Risk,NF00547,Computer Graphics Metafile Binary 3,cgm,Digital Still Image,2,2,2,2,2,10,0,2,2,2,0,6,-1,1,1,0,1,0,0,2,0,0,0,0,0,0,-4,0,-4,-2,0,0,-2,-4,1,0,0,0,1,0,0,0,-1,0,-1,1992,-4,2010,-2,-6,4.00,Moderate Risk,0.000,-5,5,4
,,4.00,Moderate Risk,NF00548,Computer Graphics Metafile Binary 4,cgm,Digital Still Image,2,2,2,2,2,10,0,2,2,2,0,6,-1,1,1,0,1,0,0,2,0,0,0,0,0,0,-4,0,-4,-2,0,0,-2,-4,1,0,0,0,1,0,0,0,-1,0,-1,1999,-4,2010,-2,-6,4.00,Moderate Risk,0.000,-5,5,4
,,4.00,Moderate Risk,NF00783,Computer Graphics Metafile Binary unspecified version,cgm,Digital Still Image,2,2,2,2,2,10,0,2,2,2,0,6,-1,1,1,0,1,0,0,2,0,0,0,0,0,0,-4,0,-4,-2,0,0,-2,-4,1,0,0,0,1,0,0,0,-1,0,-1,1987,-4,2010,-2,-6,4.00,Moderate Risk,0.001,-5,5,4
,,11.00,Moderate Risk,NF00146,Configuration File,ini|conf|cnf|cfg|cf|config,Software and Code,2,-1,-1,-2,-1,-3,2,2,0,2,-1,5,1,0,0,1,1,1,1,5,-1,1,-1,0,0,-1,2,2,4,0,1,1,1,3,0,0,0,0,0,2,2,0,0,2,6,1982,-4,1993,-4,-8,11.00,Moderate Risk,0.007,-5,5,11
,,-25.00,High Risk,NF00148,Corel CMX Compressed,cpx,Digital Design and Vector Graphics,-1,-1,0,-2,-1,-5,0,0,-1,-1,-1,-3,-1,-1,-1,-1,-1,-1,-1,-7,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,1,-2,0,0,0,-1,-1,0,0,0,0,0,0,1995,-4,2018,0,-4,-25.00,High Risk,0.000,-5,-3,-33
,,-14.00,High Risk,NF00701,Corel Print House version 5,cpd|cph|cpo,Presentation and Publishing,-1,-1,-1,-2,-1,-6,2,2,-1,-1,-1,1,-1,0,0,-1,-1,0,0,-3,0,1,1,0,0,2,2,2,4,-2,1,1,-2,-2,0,0,0,-1,-1,0,0,0,0,-1,-1,1995,-4,1999,-4,-8,-14.00,High Risk,0.001,-5,-5,-24
,,-25.00,High Risk,NF00549,CorelDraw Compressed Drawing,cdx,Digital Design and Vector Graphics,-1,-1,0,-2,-1,-5,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-7,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,1,-2,0,0,0,-1,-1,0,0,0,0,0,0,1995,-4,2012,-2,-6,-25.00,High Risk,0.000,-5,-3,-33
,,-22.00,High Risk,NF00147,CorelDraw Drawing 8.0,cdr,Digital Design and Vector Graphics,-1,-1,0,-2,-1,-5,2,0,-1,2,-1,2,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,-2,-2,-8,0,0,0,-1,-1,0,0,0,0,0,0,1997,-4,2019,0,-4,-22.00,High Risk,0.000,-5,3,-24
,,-22.00,High Risk,NF00478,CorelDraw Drawing 9.0,cdr,Digital Design and Vector Graphics,-1,-1,0,-2,-1,-5,2,0,-1,2,-1,2,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,-2,-2,-8,0,0,0,-1,-1,0,0,0,0,0,0,1999,-4,2019,0,-4,-22.00,High Risk,0.000,-5,3,-24
,,-24.00,High Risk,NF00149,CorelDraw Wavelet Image File,wi|wvl,Digital Still Image,-1,-1,0,-2,-1,-5,0,0,-1,-1,-1,-3,-1,-1,-1,-1,-1,-1,-1,-7,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,1989,-4,2018,0,-4,-24.00,High Risk,0.000,-5,-3,-32
X,,15.00,Moderate Risk,NF00550,CouchDB,json,Databases,-1,2,0,2,0,3,0,2,2,2,2,8,1,0,1,-1,1,1,0,3,1,1,1,2,2,7,2,2,4,-2,-2,1,-2,-5,0,0,0,0,0,-1,0,0,0,0,-1,2005,-4,2020,0,-4,15.00,Moderate Risk,0.000,-5,5,15
,,-1.00,Moderate Risk,NF00150,Crystal Reports File,rpt,Presentation and Publishing,-1,-1,-1,-2,-1,-6,2,2,0,2,-1,5,-1,0,0,1,1,1,1,3,0,0,0,0,0,0,2,2,4,-2,-2,1,-2,-5,0,0,0,0,0,0,2,0,0,2,4,1991,-4,2011,-2,-6,-1.00,Moderate Risk,0.002,-5,3,-3
,,3.00,Moderate Risk,NF00159,Custom Dictionary File,dct|dic,Software and Code,0,-1,0,-2,0,-3,2,0,2,2,2,8,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,-1,2,2,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,-4,,-4,-8,3.00,Moderate Risk,0.002,-5,5,3
,,1.00,Moderate Risk,NF00151,Data File,dat,Software and Code,-1,-1,0,0,0,-2,2,2,0,0,-1,3,1,0,0,0,1,1,0,3,0,0,0,0,0,0,2,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,-4,,-4,-8,1.00,Moderate Risk,0.005,-5,5,1
,,7.00,Moderate Risk,NF00710,Data List File,lst,Software and Code,2,-1,-1,0,0,0,0,2,0,2,-1,3,1,0,0,1,1,0,0,3,0,1,1,0,0,2,2,2,4,1,1,1,1,4,0,0,0,0,0,0,0,0,-1,0,-1,,-4,,-4,-8,7.00,Moderate Risk,0.001,-5,5,7
