NARA Transfer Guidance: Preferred,NARA Transfer Guidance: Acceptable,Numeric Risk Rating,Risk Level,NARA Format ID,Format Name,File Extension(s),Category/Plan(s),1.1: Is the format proprietary?,1.2: Does the format have a published open specification?,"1.3: If there is a published specification, has it been approved and published by an internationally recognized standards organization?","1.4: When was the format specification for this version last updated (or, if the last updated date is not available, when was it created)?",1: TOTAL Disclosure Score,2.1: Has the file format commonly been used to create or maintain permanent records within the federal government at any point in time?,"2.2: Is the format, or format family, actively maintained and updated by an organization or community?",2.3: Have the archives or library communities identified the format as one to avoid for creation and transfer of permanent materials?,2: TOTAL Adoption Score,"3.1: Is the format character-based, rather than binary?",3.2: Is there an internal signature in an authoritative format registry that can be used to identify a file in this format?,3.3: Does the format require the use of compression?,"3.4: If the format requires the use of compression, can it be lossy?",3.5: Does this format support declared or hidden embedded data?,"3.6: If the format supports declared or hidden embedded data, does the format list or provide standard information about embedded data?",3: TOTAL Transparency Score,4.1: Does the format natively include metadata that documents the file and the technical environment used to create (and/or modify) it?,4.2: Does the format support adding embedded descriptive and administrative metadata through manual or automated processes?,4: TOTAL Self-Documentation Score,"5.1: Does the format require a specific hardware environment, such as a specific graphics card, chipset, or memory requirements, to process or interact with it?","5.2: Does the format require specific playback hardware (e.g., Blu-Ray, Audio CD, etc) to transfer the format to the NARA environment?",5: TOTAL External Hardware Dependencies Score,6.1: Are renderers available?,"6.2: If renderers are available, is at least one of them open source?","6.3: Does the format rely on plug-ins and/or scripts, etc. to render or execute files?",6.4: Can the format be rendered or executed in more than one computing operating system?,6.5: Is there software supported by current computing environments that can create the format?,6: TOTAL External Software Dependencies Score,7.1: Is the format subject to patent claims that may impede the development of open source tools for opening and managing the files?,7.2: Does the format have open source license terms?,7: TOTAL Impact of Patents Score,8.1: Does the format require the use of encryption?,"8.2: If the format requires the use of encryption, is it robust (cryptographically secure)?",8.3: Does the format natively allow the use of technical protection measures (e.g. digital rights management)?,8: TOTAL Technical Protection Mechanisms Score,TOTAL Numeric Risk Rating,Risk Level,Percentage of 2 billion files in NARA ERA holdings,Prevalence: Format Adoption Level as measured by Proportion of File Format in the Overall NARA Holdings,Feasibility Score,NARA TOTAL
,,-5.00,Moderate Risk,NF00386,Adobe Type 1 PostScript Printer Font Binary,pfb,Software and Code,-1,2,-1,-4,0,2,-1,-2,-1,-1,2,1,0,1,0,3,-2,-1,-3,2,2,4,2,-1,-4,2,-1,-2,2,-2,0,-4,0,-2,-6,-5.00,Moderate Risk,0.000,-5,5,-5.00
,,20.00,Moderate Risk,NF00106,Advanced Audio Coding (AAC) MPEG-2 Audio,aac,Digital Audio,2,2,2,-2,6,0,2,1,3,-1,-2,-1,-1,1,0,-4,2,1,3,2,2,4,2,1,2,2,1,8,-2,-2,-4,2,0,2,4,20.00,Moderate Risk,0.000,-5,3,18.00
,,16.00,Moderate Risk,NF00108,Advanced Audio Coding MPEG-4 Low Complexity Object,aac|mp4|m4a,Digital Audio,2,2,2,-2,6,0,2,1,3,-1,-2,-1,-1,1,0,-4,2,1,3,2,2,4,2,1,2,2,1,8,-2,-2,-4,2,0,-2,0,16.00,Moderate Risk,0.000,-5,3,14.00
,,20.00,Moderate Risk,NF00109,Advanced Systems Format unspecified version,asf,Digital Video|Digital Audio,-1,2,-1,-4,0,2,2,1,5,-1,2,1,0,-1,-1,0,2,1,3,2,2,4,2,1,2,2,1,8,-2,-2,-4,2,0,2,4,20.00,Moderate Risk,0.002,-5,3,18.00
X,,33.00,Low Risk,NF00113,American Standard Code for Information Interchange (ASCII) 7-bit Text,txt|asc|csv|tab,Textual and Word Processing,2,2,2,-2,6,0,2,1,3,1,-2,1,0,1,0,1,2,1,3,2,2,4,2,1,2,2,1,8,2,2,4,2,0,2,4,33.00,Low Risk,0.000,-5,5,33.00
,,33.00,Low Risk,NF00114,American Standard Code for Information Interchange (ASCII) 8-bit Text,txt|asc|csv|tab,Textual and Word Processing,2,2,2,-2,6,0,2,1,3,1,-2,1,0,1,0,1,2,1,3,2,2,4,2,1,2,2,1,8,2,2,4,2,0,2,4,33.00,Low Risk,0.000,-5,0,28.00
,,23.00,Low Risk,NF00846,American Standard Code for Information Interchange (ASCII) unspecified version,asc,Textual and Word Processing,FALSE,FALSE,FALSE,-4,0,2,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,23.00,Low Risk,0.000,-5,0,18.00
X,,23.00,Low Risk,NF00429,"American Standard Code for Information Interchange (ASCII), Extended, Variable-width encoding Unicode (Universal Coded Character Set) Transformation Format (UTF)",txt|utf|utf8|utf16,Textual and Word Processing,2,-2,0,-4,0,0,2,1,3,1,-2,1,0,1,0,1,2,1,3,2,2,4,2,1,2,2,1,8,2,-2,0,2,0,2,4,23.00,Low Risk,0.000,-5,5,23.00
,,-29.00,High Risk,NF00819,Apple Final Cut Pro Project,fcp,Digital Video,-1,-2,0,-2,-3,2,-1,1,2,-1,-2,-1,-1,-1,-1,-7,-2,-1,-3,2,2,4,-4,0,-4,-2,-1,-11,-2,-2,-4,-4,-1,-2,-7,-29.00,High Risk,0.000,-5,-3,-37.00
,,-1.00,Moderate Risk,NF00110,Apple Macintosh Desktop Services Store,DS_STORE,Software and Code,-1,2,-1,-4,0,0,2,-2,0,-1,2,1,0,-1,-1,0,2,-1,1,-6,2,-4,2,-1,2,-2,1,2,-2,-2,-4,2,0,2,4,-1.00,Moderate Risk,0.000,-5,0,-6.00
,,17.00,Moderate Risk,NF00856,Apple Mail Email File,emlx,Email,-1,-2,0,-4,-3,2,2,1,5,1,-2,1,0,-1,1,0,2,1,3,2,2,4,2,1,2,2,1,8,-2,-2,-4,2,0,2,4,17.00,Moderate Risk,0.000,-5,0,12.00
,,-29.00,High Risk,NF00815,Apple Soundtrack Pro Project,stmp,Digital Audio,-1,-2,0,-4,-3,2,-1,1,2,-1,-2,-1,-1,-1,-1,-7,-2,-1,-3,2,2,4,-4,0,-4,-2,-1,-11,-2,-2,-4,-4,-1,-2,-7,-29.00,High Risk,0.000,-5,-3,-37.00
,,9.00,Moderate Risk,NF00780,Apple Video file,m4v,Digital Video,-1,-2,0,-2,-3,2,2,1,5,-1,-2,-1,-1,1,0,-4,2,1,3,2,2,4,2,1,2,2,1,8,-2,-2,-4,2,0,-2,0,9.00,Moderate Risk,0.000,-5,3,7.00
,,-9.00,Moderate Risk,NF00720,Archicad Template File,tpl,Digital Design and Vector Graphics,-1,-2,0,0,-3,2,2,1,5,-1,-2,-1,-1,-1,-1,-7,-2,-1,-3,2,2,4,2,-1,2,2,1,6,-2,-2,-4,-4,-1,-2,-7,-9.00,Moderate Risk,0.000,-5,0,-14.00
,,-33.00,High Risk,NF00735,ASP.NET HTTP Handler File,axd,Software and Code,-1,-2,0,-4,-3,2,-1,-2,-1,-1,-2,-1,-1,-1,-1,-7,-2,-1,-3,-6,2,-4,2,-1,-4,-2,1,-4,-2,-2,-4,-4,-1,-2,-7,-33.00,High Risk,0.000,-5,0,-38.00
,,-24.00,High Risk,NF00773,Atari ST Self-extracting file archive,tp,Software and Code,-1,-2,0,-4,-3,0,-1,-2,-3,-1,-2,-1,-1,-1,-1,-7,-2,-1,-3,-6,2,-4,2,-1,-4,2,1,0,-2,-2,-4,2,0,-2,0,-24.00,High Risk,0.000,-5,0,-29.00
,X,27.00,Low Risk,NF00115,Audio Interchange Format (AIFF),aiff|aif,Digital Audio,-1,2,-1,-4,0,2,2,1,5,-1,2,1,0,1,0,3,2,1,3,2,2,4,2,1,2,2,1,8,2,-2,0,2,0,2,4,27.00,Low Risk,0.000,-5,5,27.00
,X,21.00,Moderate Risk,NF00116,Audio Interchange Format with LPCM Audio,aiff|aif,Digital Audio,-1,2,-1,-4,0,0,2,1,3,-1,-2,1,0,1,0,-1,2,1,3,2,2,4,2,1,2,2,1,8,2,-2,0,2,0,2,4,21.00,Moderate Risk,0.000,-5,5,21.00
,X,21.00,Moderate Risk,NF00117,Audio Video Interleave Format (AVI),avi,Digital Video,-1,2,-1,-4,0,2,2,1,5,-1,2,1,0,1,0,3,2,1,3,2,2,4,2,1,-4,2,1,2,2,-2,0,2,0,2,4,21.00,Moderate Risk,0.000,-5,5,21.00
,,-2.00,Moderate Risk,NF00122,AutoCAD component: Block Attribute Template,bkl,Digital Design and Vector Graphics,-1,-2,0,-4,-3,0,2,1,3,-1,2,-1,-1,-1,-1,-3,-2,-1,-3,2,2,4,2,-1,-4,2,1,0,-2,-2,-4,2,0,2,4,-2.00,Moderate Risk,0.000,-5,-5,-12.00
,,-2.00,Moderate Risk,NF00123,AutoCAD component: Colour-Dependant Plot Style Table,ctb,Digital Design and Vector Graphics,-1,-2,0,-4,-3,0,2,1,3,-1,2,-1,-1,-1,-1,-3,-2,-1,-3,2,2,4,2,-1,-4,2,1,0,-2,-2,-4,2,0,2,4,-2.00,Moderate Risk,0.000,-5,-5,-12.00
